time,y,y_dot
1.419999999999999929e+00,5.680577760000095067e-01,5.350063150912425236e-01
1.429999999999999938e+00,5.734026139864585314e-01,5.339541663678516459e-01
1.439999999999999947e+00,5.787367167263065548e-01,5.328593556063105918e-01
1.449999999999999956e+00,5.840596602001816295e-01,5.317224168699850040e-01
1.459999999999999964e+00,5.893710259588562650e-01,5.305438836085121235e-01
1.469999999999999973e+00,5.946704008006139519e-01,5.293242877821563441e-01
1.479999999999999982e+00,5.999573767712487182e-01,5.280641598618102117e-01
1.489999999999999991e+00,6.052315511640653511e-01,5.267640288289934247e-01
1.500000000000000000e+00,6.104925265198790640e-01,5.254244221758537225e-01
1.510000000000000009e+00,6.157399106270161626e-01,5.240458659051663304e-01
1.520000000000000018e+00,6.209733165213133788e-01,5.226288845303342923e-01
1.530000000000000027e+00,6.261923624861180926e-01,5.211740010753882490e-01
1.540000000000000036e+00,6.313966720522883325e-01,5.196817370749864384e-01
1.550000000000000044e+00,6.365858739981932191e-01,5.181526125744146949e-01
1.560000000000000053e+00,6.417596023497119662e-01,5.165871461295868938e-01
1.570000000000000062e+00,6.469174963802347689e-01,5.149858548070440634e-01
1.580000000000000071e+00,6.520592006106624705e-01,5.133492541839552725e-01
1.590000000000000080e+00,6.571843647652215736e-01,5.116778582924849106e-01
1.600000000000000089e+00,6.622926427713611286e-01,5.099721786577641192e-01
1.610000000000000098e+00,6.673836943515468745e-01,5.082327266891250028e-01
1.620000000000000107e+00,6.724571846875641024e-01,5.064600125133644770e-01
1.630000000000000115e+00,6.775127839216634751e-01,5.046545442226635370e-01
1.640000000000000124e+00,6.825501671565615824e-01,5.028168278745874797e-01
1.650000000000000133e+00,6.875690144554404970e-01,5.009473674920857933e-01
1.660000000000000142e+00,6.925690108419483293e-01,4.990466650634922119e-01
1.669999999999999929e+00,6.975498463001982286e-01,4.971152205425248272e-01
1.679999999999999938e+00,7.025112157747699371e-01,4.951535318482856995e-01
1.689999999999999947e+00,7.074528191707080138e-01,4.931620948652611913e-01
1.699999999999999956e+00,7.123743613535232777e-01,4.911414034433220777e-01
1.709999999999999964e+00,7.172755521491919195e-01,4.890919493977231580e-01
1.719999999999999973e+00,7.221561063441559458e-01,4.870142225091034782e-01
1.729999999999999982e+00,7.270157436853229571e-01,4.849087105234863859e-01
1.739999999999999991e+00,7.318541888800664807e-01,4.827758991522794196e-01
1.750000000000000000e+00,7.366711715962253049e-01,4.806162720722743642e-01
1.760000000000000009e+00,7.414664258368095506e-01,4.784303105066621264e-01
1.770000000000000018e+00,7.462396899077332613e-01,4.762184936757989373e-01
1.780000000000000027e+00,7.509907082213828078e-01,4.739812998345435124e-01
1.790000000000000036e+00,7.557192298249502116e-01,4.717192048211658051e-01
1.800000000000000044e+00,7.604250083498963475e-01,4.694326820158398750e-01
1.810000000000000053e+00,7.651078020119512768e-01,4.671222023406435553e-01
1.820000000000000062e+00,7.697673736111141363e-01,4.647882342595584526e-01
1.830000000000000071e+00,7.744034905316530271e-01,4.624312437784701135e-01
1.840000000000000080e+00,7.790159247421052369e-01,4.600516944451680246e-01
1.850000000000000089e+00,7.836044527952772398e-01,4.576500473493453347e-01
1.860000000000000098e+00,7.881688558282442525e-01,4.552267611225991883e-01
1.870000000000000107e+00,7.927089195623507889e-01,4.527822919384306144e-01
1.880000000000000115e+00,7.972244343032104386e-01,4.503170935122444707e-01
1.890000000000000124e+00,8.017151949407058664e-01,4.478316171013493885e-01
1.900000000000000133e+00,8.061810009489888129e-01,4.453263115049579390e-01
1.910000000000000142e+00,8.106216563864798719e-01,4.428016230641865780e-01
1.919999999999999929e+00,8.150369698958689346e-01,4.402579956620557011e-01
1.929999999999999938e+00,8.194267537562069936e-01,4.376958703873837786e-01
1.939999999999999947e+00,8.237908244989969875e-01,4.351156861955297050e-01
1.949999999999999956e+00,8.281290044953177887e-01,4.325178802333268235e-01
1.959999999999999964e+00,8.324411202684268707e-01,4.299028868954747340e-01
1.969999999999999973e+00,8.367270024763885372e-01,4.272711378165565121e-01
1.979999999999999982e+00,8.409864859120741443e-01,4.246230618710385984e-01
1.989999999999999991e+00,8.452194095031622112e-01,4.219590851732710202e-01
2.000000000000000000e+00,8.494256163121380876e-01,4.192796310774872248e-01
2.010000000000000231e+00,8.536049535362942864e-01,4.165851201778040802e-01
2.020000000000000018e+00,8.577572725077300397e-01,4.138759703082220964e-01
2.030000000000000249e+00,8.618824286933520762e-01,4.111525965426249263e-01
2.040000000000000036e+00,8.659802816948736215e-01,4.084154111947801424e-01
2.049999999999999822e+00,8.700506952488151757e-01,4.056648238183384048e-01
2.060000000000000053e+00,8.740935372265045133e-01,4.029012412068338489e-01
2.069999999999999840e+00,8.781086796340756839e-01,4.001250673936844193e-01
2.080000000000000071e+00,8.820959986124705665e-01,3.973367036521911477e-01
2.089999999999999858e+00,8.860553744374373153e-01,3.945365484955388746e-01
2.100000000000000089e+00,8.899866911713288919e-01,3.917249976207304862e-01
2.109999999999999876e+00,8.938898354045986538e-01,3.889024439526873045e-01
2.120000000000000107e+00,8.977646997298165399e-01,3.860692782946542057e-01
